Timestamp (from 1970),Date,Time,Lat,Long,Speed (m/s),Heading,HR,Distance (m),Calories (SUM)
1728810743.0001054,13/10/24,12:12:23 PM,37.936770303,23.6619646603,1.47,104.83,96.0,6855.946130150536,1.914

1728810745.0001082,13/10/24,12:12:25 PM,37.9367608522,23.6619972743,1.5145,107.99,124.0,6852.893201934484,1.914

1728810747.0001118,13/10/24,12:12:27 PM,37.9367501971,23.6620310298,1.5543,108.32,124.0,6849.698807833419,4.089

1728810749.0001142,13/10/24,12:12:29 PM,37.9367409541,23.6620660439,1.6277,110.35,124.0,6846.45429485157,4.089

1728810750.0001144,13/10/24,12:12:30 PM,37.9367334912,23.6620881377,1.6277,112.03,124.0,6844.342794185067,4.089

1728810751.0001159,13/10/24,12:12:31 PM,37.9367240589,23.6621108711,1.7644,115.67,124.0,6842.08670626491,4.089

1728810752.0001163,13/10/24,12:12:32 PM,37.9367135014,23.6621355816,1.928,119.96,124.0,6839.618522952854,4.089

1728810753.0001173,13/10/24,12:12:33 PM,37.9367028758,23.6621556499,1.928,125.09,124.0,6837.496429297416,4.089

1728810754.0001185,13/10/24,12:12:34 PM,37.9366904073,23.6621746284,1.928,131.67,124.0,6835.328764162236,4.089

1728810755.0001185,13/10/24,12:12:35 PM,37.9366740059,23.6621964154,2.0481,135.58,124.0,6832.686345151517,4.089

1728810756.0001194,13/10/24,12:12:36 PM,37.936656756,23.6622105636,2.1918,143.61,124.0,6830.40318446065,4.089

1728810757.00012,13/10/24,12:12:37 PM,37.9366362293,23.6622281019,2.2196,143.57,124.0,6827.652184460759,4.089

1728810758.0001197,13/10/24,12:12:38 PM,37.9366174876,23.6622433416,2.2177,135.61,124.0,6825.177877181625,4.089

1728810759.0001202,13/10/24,12:12:39 PM,37.9365999464,23.6622633494,2.2177,138.73,125.0,6822.554072449842,6.403

1728810760.0001202,13/10/24,12:12:40 PM,37.9365851882,23.6622782875,2.3257,146.17,125.0,6820.454595993523,6.403

1728810761.0001206,13/10/24,12:12:41 PM,37.9365639889,23.662295519,2.3816,152.02,125.0,6817.656145957346,6.403

1728810762.0001206,13/10/24,12:12:42 PM,37.9365402214,23.6623078837,2.3257,156.32,125.0,6814.802909922244,6.403

