Timestamp (from 1970),Date,Time,Lat,Long,Speed (m/s),Heading,HR,Distance (m),Calories (SUM)
1729932901.0010142,26/10/24,11:55:01 AM,37.9368796635,23.6614490144,2.8281,99.79,143.0,11089.411482347068,6.64
1729932902.000974,26/10/24,11:55:02 AM,37.9368774443,23.6614745868,2.4044,99.74,147.0,11087.149995049596,6.64
1729932903.000937,26/10/24,11:55:03 AM,37.9368773306,23.6615049145,2.3609,97.44,147.0,11084.483900964093,7.186
1729932904.000902,26/10/24,11:55:04 AM,37.9368747559,23.6615323102,2.3408,97.22,147.0,11082.058688082088,7.186
1729932905.0008676,26/10/24,11:55:05 AM,37.9368702155,23.6615611511,2.4208,97.52,147.0,11079.473724256735,7.186
1729932906.0008366,26/10/24,11:55:06 AM,37.9368655647,23.6615922436,2.4208,97.86,147.0,11076.692107728853,7.753
1729932907.0008078,26/10/24,11:55:07 AM,37.9368631407,23.661622667,2.4208,97.68,148.0,11074.004131383457,7.753
1729932908.0007806,26/10/24,11:55:08 AM,37.9368608734,23.6616553505,2.445,97.7,148.0,11071.119971845384,8.32
1729932909.0007553,26/10/24,11:55:09 AM,37.9368572821,23.6616861984,2.445,97.74,148.0,11068.379037006782,8.32
1729932910.0007315,26/10/24,11:55:10 AM,37.9368521952,23.6617136992,2.6415,97.89,148.0,11065.89642295172,8.32
1729932911.0007086,26/10/24,11:55:11 AM,37.9368462713,23.6617448308,2.6415,99.0,148.0,11063.081809051493,8.892
1729932912.0006871,26/10/24,11:55:12 AM,37.9368407999,23.6617745812,2.3496,100.14,147.0,11060.396909946927,8.892
1729932913.0006676,26/10/24,11:55:13 AM,37.936834672,23.6618036746,2.3496,100.97,147.0,11057.75045291291,9.464
1729932914.000648,26/10/24,11:55:14 AM,37.9368300054,23.6618330258,2.3512,100.92,147.0,11055.118754502311,9.464
1729932915.0006309,26/10/24,11:55:15 AM,37.9368243707,23.6618587664,2.6362,103.37,147.0,11052.77109485321,9.464
1729932916.0006156,26/10/24,11:55:16 AM,37.9368188401,23.661890551,2.6362,103.05,147.0,11049.91031784085,10.031
1729932917.0005984,26/10/24,11:55:17 AM,37.9368138754,23.6619192326,2.4693,102.59,151.0,11047.329443754115,10.031
1729932918.0005841,26/10/24,11:55:18 AM,37.9368093805,23.6619431298,2.4378,102.64,151.0,11045.170244566827,10.598
1729932919.00057,26/10/24,11:55:19 AM,37.9368038251,23.6619686723,2.4378,102.88,151.0,11042.841711953648,10.598
1729932920.0005574,26/10/24,11:55:20 AM,37.9367983069,23.6619949529,2.4995,102.01,151.0,11040.451610147584,10.598
1729932921.0005455,26/10/24,11:55:21 AM,37.9367922052,23.6620224788,2.5685,102.89,151.0,11037.938856841498,11.186
1729932922.0005343,26/10/24,11:55:22 AM,37.936786345,23.6620532117,2.5685,103.67,153.0,11035.159973688995,11.186
1729932923.0005236,26/10/24,11:55:23 AM,37.9367804864,23.6620852981,2.5685,106.89,153.0,11032.265317653788,11.774
1729932924.000513,26/10/24,11:55:24 AM,37.9367734221,23.6621157271,2.5592,108.54,153.0,11029.477795469495,11.774
1729932925.0005045,26/10/24,11:55:25 AM,37.9367648622,23.6621433513,2.5383,109.47,153.0,11026.870143410617,11.774
1729932926.0004954,26/10/24,11:55:26 AM,37.9367520485,23.6621708796,2.7543,111.82,153.0,11024.063171178317,12.372
1729932927.0004864,26/10/24,11:55:27 AM,37.9367418619,23.6622013534,2.6811,112.14,153.0,11021.155431811754,12.372
1729932928.0004783,26/10/24,11:55:28 AM,37.9367304035,23.6622321157,2.6811,114.34,153.0,11018.167017643042,12.372
1729932929.000471,26/10/24,11:55:29 AM,37.9367181179,23.6622613484,2.6717,117.77,153.0,11015.257822233832,12.97
1729932930.000464,26/10/24,11:55:30 AM,37.9367073496,23.6622889226,2.5343,117.31,153.0,11012.555158647867,12.97
1729932931.0004578,26/10/24,11:55:31 AM,37.9366962131,23.6623182749,2.7627,116.97,153.0,11009.694043068926,13.568
1729932932.0004516,26/10/24,11:55:32 AM,37.9366857646,23.6623473495,2.6097,115.71,150.0,11006.8873299325,13.568
1729932933.0004454,26/10/24,11:55:33 AM,37.9366754842,23.662377051,2.6097,112.83,150.0,11004.037863697968,13.568
1729932934.0004401,26/10/24,11:55:34 AM,37.936666444,23.6624041765,2.5285,109.65,150.0,11001.45078167521,14.166
1729932935.0004344,26/10/24,11:55:35 AM,37.9366552285,23.6624310388,2.3258,112.62,150.0,10998.781319688314,14.166
1729932936.00043,26/10/24,11:55:36 AM,37.9366467148,23.6624551069,2.3908,111.81,150.0,10996.46408791265,14.748
1729932937.0004253,26/10/24,11:55:37 AM,37.9366389196,23.6624812248,2.3258,110.82,153.0,10994.010482637077,14.748
1729932938.0004206,26/10/24,11:55:38 AM,37.9366310758,23.6625057226,2.2766,110.46,153.0,10991.687589077868,14.748
1729932939.0004168,26/10/24,11:55:39 AM,37.9366218367,23.662530848,2.2766,111.27,153.0,10989.252396186735,15.33
1729932940.0004122,26/10/24,11:55:40 AM,37.9366134149,23.6625576759,2.5859,111.8,153.0,10986.715493959146,15.33
1729932941.0004094,26/10/24,11:55:41 AM,37.9366067863,23.6625827299,2.6348,111.38,153.0,10984.39339317585,15.928
1729932942.0004048,26/10/24,11:55:42 AM,37.9366022885,23.6626067547,2.6348,108.38,153.0,10982.223204835727,15.928
1729932943.000403,26/10/24,11:55:43 AM,37.9365947887,23.662631556,2.6348,108.76,155.0,10979.889445093833,15.928
1729932945.0003967,26/10/24,11:55:45 AM,37.9365878028,23.6626731335,2.4464,103.81,155.0,10976.153082754103,16.526
1729932946.0003939,26/10/24,11:55:46 AM,37.9365835146,23.662698129,2.4464,103.99,155.0,10973.90480457639,16.526
1729932947.0003908,26/10/24,11:55:47 AM,37.9365795937,23.6627205284,2.2125,104.09,152.0,10971.888186009117,17.134
1729932948.0003884,26/10/24,11:55:48 AM,37.9365752615,23.6627434046,2.2125,104.65,152.0,10969.82048290553,17.134
1729932949.0003862,26/10/24,11:55:49 AM,37.9365688844,23.6627723964,2.2125,105.73,152.0,10967.175389167603,17.742
1729932950.0003834,26/10/24,11:55:50 AM,37.936564781,23.6627994296,2.5757,104.97,152.0,10964.755687915267,17.742
1729932951.0003812,26/10/24,11:55:51 AM,37.9365568835,23.6628322226,2.5757,105.03,152.0,10961.742574601241,17.742
1729932952.0003784,26/10/24,11:55:52 AM,37.9365495051,23.6628643042,2.5707,104.21,146.0,10958.805824518862,18.335
1729932953.0003772,26/10/24,11:55:53 AM,37.9365437462,23.6628902203,2.3986,104.43,146.0,10956.439604126625,18.335
1729932954.000375,26/10/24,11:55:54 AM,37.9365360661,23.6629165368,2.3289,106.59,146.0,10953.974100348365,18.928
1729932956.0003717,26/10/24,11:55:56 AM,37.9365191474,23.6629575736,2.032,109.92,146.0,10949.907105738557,18.928
1729932957.0003695,26/10/24,11:55:57 AM,37.9365114019,23.6629783167,2.032,109.66,145.0,10947.891108413847,19.489
1729932958.0003686,26/10/24,11:55:58 AM,37.9365064781,23.6630010629,2.0645,98.6,145.0,10945.818181801167,19.489
