Timestamp (from 1970),Date,Time,Lat,Long,Speed (m/s),Heading,HR,Distance (m),Calories (SUM)
1728722570.9307637,12/10/24,11:42:50 AM,37.9368949646,23.6618833514,0.0,-1.0,0.0,9174.248826288236,0.0
1728722574.0007594,12/10/24,11:42:54 AM,37.9368981736,23.6619133882,0.0,-1.0,114.0,9171.584417640772,0.02
1728722576.0007381,12/10/24,11:42:56 AM,37.9369019886,23.6619372301,0.0,-1.0,110.0,9169.446161388916,0.02
1728722579.000638,12/10/24,11:42:59 AM,37.9369102161,23.6619610712,0.0,79.02,110.0,9167.160008133853,0.685
1728722582.0005245,12/10/24,11:43:02 AM,37.9369250956,23.6619865541,0.9792,70.11,115.0,9164.376848581856,0.685
1728722585.0004425,12/10/24,11:43:05 AM,37.9369296215,23.6620131271,1.1672,89.35,118.0,9161.987448004926,1.663
1728722587.0003948,12/10/24,11:43:07 AM,37.9369259543,23.6620466387,1.3068,97.21,118.0,9159.013502063424,1.663
1728722589.0003524,12/10/24,11:43:09 AM,37.9369234937,23.6620772195,1.175,91.88,118.0,9156.311348444913,2.56
1728722591.0003152,12/10/24,11:43:11 AM,37.9369230791,23.662105759,0.9995,82.84,119.0,9153.802058394855,2.968
1728722593.0002823,12/10/24,11:43:13 AM,37.9369175371,23.662137138,1.0731,88.16,119.0,9150.975819001333,3.376
1728722595.0002537,12/10/24,11:43:15 AM,37.9369156792,23.6621701332,1.3511,86.47,124.0,9148.067935135507,3.376
1728722597.0002265,12/10/24,11:43:17 AM,37.9369119464,23.6621884114,1.1975,97.34,124.0,9146.408565889926,3.784
1728722599.000204,12/10/24,11:43:19 AM,37.9369086522,23.6622148734,1.2584,92.9,124.0,9144.05376743881,4.255
1728722601.000184,12/10/24,11:43:21 AM,37.9369078275,23.6622442105,1.282,91.67,124.0,9141.473159486308,4.726
1728722603.0001667,12/10/24,11:43:23 AM,37.9369067074,23.6622749507,1.2888,92.55,124.0,9138.767972536836,4.726
1728722605.0001512,12/10/24,11:43:25 AM,37.9369043216,23.6623056223,1.3002,93.99,114.0,9136.058701674214,5.197
1728722607.0001373,12/10/24,11:43:27 AM,37.9369031332,23.6623402997,1.4011,93.39,114.0,9133.007406837407,5.197
1728722609.0001245,12/10/24,11:43:29 AM,37.9368986247,23.6623737609,1.3904,96.75,114.0,9130.023615846563,5.668
1728722611.0001142,12/10/24,11:43:31 AM,37.9368938629,23.6624067273,1.4149,98.27,118.0,9127.077782583228,6.646
1728722613.0001035,12/10/24,11:43:33 AM,37.9368855251,23.6624356863,1.3671,101.55,118.0,9124.369039213938,6.646
1728722615.0000958,12/10/24,11:43:35 AM,37.9368837696,23.6624640381,1.3272,93.36,114.0,9121.869066496121,6.646
1728722617.0000873,12/10/24,11:43:37 AM,37.9368822329,23.6624883914,1.3308,90.38,114.0,9119.721417605264,7.054
1728722619.000081,12/10/24,11:43:39 AM,37.9368838841,23.6625202654,1.3175,91.39,114.0,9116.91343076127,7.462
1728722621.0000744,12/10/24,11:43:41 AM,37.9368855241,23.662550934,1.3311,90.6,114.0,9114.211258194904,8.278
1728722623.0000691,12/10/24,11:43:43 AM,37.9368826749,23.6625789842,1.323,90.12,114.0,9111.725207047984,8.278
1728722625.000064,12/10/24,11:43:45 AM,37.9368745898,23.6626062443,1.3387,89.13,112.0,9109.166288718458,8.278
1728722627.0000591,12/10/24,11:43:47 AM,37.936878712,23.662633653,1.3643,85.96,112.0,9106.71376974278,8.696
1728722629.0000546,12/10/24,11:43:49 AM,37.9368814263,23.6626660683,1.3498,87.33,110.0,9103.848303500456,8.905
1728722631.000051,12/10/24,11:43:51 AM,37.9368843228,23.6626960603,1.3935,89.21,110.0,9101.192219027113,8.905
1728722633.0000472,12/10/24,11:43:53 AM,37.936885947,23.6627301993,1.3973,88.54,110.0,9098.185696833758,8.905
1728722635.000044,12/10/24,11:43:55 AM,37.9368816724,23.6627649877,1.4047,94.48,111.0,9095.090910706662,9.114
1728722637.000041,12/10/24,11:43:57 AM,37.9368809809,23.6627999918,1.4368,95.92,111.0,9092.012791533343,9.623
1728722639.0000386,12/10/24,11:43:59 AM,37.9368773034,23.6628244127,1.3519,94.03,111.0,9089.827523141075,9.623
1728722641.0000362,12/10/24,11:44:01 AM,37.9368740753,23.6628539912,1.3427,93.0,113.0,9087.202747309557,9.904
1728722643.0000343,12/10/24,11:44:03 AM,37.9368733243,23.6628822327,1.3427,89.56,113.0,9084.718677040004,10.185
1728722645.0000315,12/10/24,11:44:05 AM,37.9368734388,23.6629153265,1.3564,87.24,110.0,9081.809419016408,10.466
1728722647.0000305,12/10/24,11:44:07 AM,37.9368799137,23.662948828,1.38,83.6,110.0,9078.777926559445,10.694
1728722649.0000281,12/10/24,11:44:09 AM,37.9368786971,23.662973823,1.3231,112.15,110.0,9076.576505087016,10.694
1728722652.000025,12/10/24,11:44:12 AM,37.9368609998,23.662979391,1.2465,200.57,111.0,9074.55212234563,10.694
1728722654.0000238,12/10/24,11:44:14 AM,37.936831727,23.6629604412,1.3241,201.46,111.0,9070.900823363741,10.694
1728722656.000022,12/10/24,11:44:16 AM,37.9368025822,23.6629508376,1.4295,196.82,113.0,9067.55754001758,11.393
1728722658.00002,12/10/24,11:44:18 AM,37.936775375,23.6629388564,1.4345,194.16,113.0,9064.359266315503,11.674
1728722660.0000196,12/10/24,11:44:20 AM,37.9367482385,23.6629222244,1.5302,194.45,118.0,9061.011131277804,11.955
1728722662.0000184,12/10/24,11:44:22 AM,37.936717674,23.662905688,1.6119,195.49,118.0,9057.32028072683,11.955
1728722664.000017,12/10/24,11:44:24 AM,37.9366852217,23.6628919608,1.6384,196.29,118.0,9053.52146562889,12.236
1728722666.0000148,12/10/24,11:44:26 AM,37.9366610459,23.6628823037,1.5805,196.19,120.0,9050.706978928205,12.517
1728722668.0000138,12/10/24,11:44:28 AM,37.9366321839,23.6628717533,1.6047,195.35,120.0,9047.371876847792,12.517
1728722670.0000124,12/10/24,11:44:30 AM,37.9366035031,23.6628615831,1.6076,197.8,120.0,9044.065282163418,12.954
1728722672.000012,12/10/24,11:44:32 AM,37.9365737316,23.6628477209,1.6384,200.72,120.0,9040.54325235721,12.954
1728722674.0000093,12/10/24,11:44:34 AM,37.9365444201,23.6628307444,1.6646,200.85,120.0,9036.963858896781,12.954
1728722676.0000086,12/10/24,11:44:36 AM,37.9365167459,23.6628109112,1.6513,203.25,121.0,9033.43183433483,13.617
1728722678.0000076,12/10/24,11:44:38 AM,37.9364900665,23.6627953936,1.6513,204.8,121.0,9030.171454850159,14.071
1728722680.000007,12/10/24,11:44:40 AM,37.9364636112,23.6627797158,1.6133,209.52,115.0,9026.927692361012,14.071
1728722682.0000048,12/10/24,11:44:42 AM,37.9364424282,23.662768397,1.5806,208.28,115.0,9024.374602784195,14.525
1728722684.0000043,12/10/24,11:44:44 AM,37.9364217597,23.6627501753,1.4923,208.27,115.0,9021.576598729538,14.734
1728722686.0000026,12/10/24,11:44:46 AM,37.936399793,23.6627417138,1.448,208.1,116.0,9019.027458844857,14.734
1728722688.0000029,12/10/24,11:44:48 AM,37.9363825414,23.6627278282,1.4253,213.42,116.0,9016.756631799211,15.152
1728722690.0000012,12/10/24,11:44:50 AM,37.9363622213,23.6627123599,1.3527,215.03,102.0,9014.122996598564,15.152
1728722692.9999995,12/10/24,11:44:53 AM,37.9363476622,23.6626966246,1.174,217.13,102.0,9011.99582493086,15.38
1728722694.999998,12/10/24,11:44:55 AM,37.9363296387,23.6626760145,1.1915,223.86,104.0,9009.29680065558,15.38
1728722696.9999979,12/10/24,11:44:57 AM,37.9363138876,23.6626537633,1.2671,214.74,104.0,9006.673298589752,15.38
1728722699.0000277,12/10/24,11:44:59 AM,37.9362952535,23.6626359605,1.2677,225.41,104.0,9004.079625828383,16.17
1728722701.000025,12/10/24,11:45:01 AM,37.936280365,23.6626171698,1.239,226.16,105.0,9001.743049729874,16.17
1728722703.0000267,12/10/24,11:45:03 AM,37.9362690509,23.6625946905,1.2217,223.99,105.0,8999.40165492645,16.607
1728722705.000023,12/10/24,11:45:05 AM,37.9362518384,23.6625790594,1.1795,216.54,110.0,8997.048315319926,16.607
1728722707.0000215,12/10/24,11:45:07 AM,37.9362319963,23.6625676363,1.2103,213.58,110.0,8994.62780512661,16.607
1728722709.0000205,12/10/24,11:45:09 AM,37.936209369,23.6625480981,1.2353,213.98,110.0,8991.585139050114,17.025
1728722711.0000129,12/10/24,11:45:11 AM,37.9361901095,23.66253469,1.2567,207.65,111.0,8989.144007597533,17.234
1728722713.0000057,12/10/24,11:45:13 AM,37.9361734336,23.6625242496,1.1498,204.09,111.0,8987.078006631451,17.234
1728722715.9999979,12/10/24,11:45:16 AM,37.9361469964,23.6625100859,1.1351,204.81,108.0,8983.890369644549,17.443
1728722717.999993,12/10/24,11:45:18 AM,37.9361305818,23.6624961733,1.1187,209.48,108.0,8981.695991228638,17.443
1728722719.9999905,12/10/24,11:45:20 AM,37.9361156547,23.6624786928,1.1091,209.64,108.0,8979.4362310331,17.652
1728722721.9999866,12/10/24,11:45:22 AM,37.9360970016,23.6624636614,1.1176,209.55,108.0,8976.98008551092,17.652
1728722724.9999814,12/10/24,11:45:25 AM,37.9360803257,23.6624526054,0.9712,210.41,105.0,8974.889481519533,17.652
1728722727.9999769,12/10/24,11:45:28 AM,37.9360634643,23.662439945,0.9238,213.61,105.0,8972.712023902694,17.652
1728722730.9999743,12/10/24,11:45:31 AM,37.9360426841,23.662423973,0.881,219.61,108.0,8970.011766360078,17.861
1728722735.9999676,12/10/24,11:45:36 AM,37.9360270307,23.662410631,0.2263,203.72,105.0,8967.915487742679,18.279
1728722741.9999633,12/10/24,11:45:42 AM,37.9360102607,23.662398743,0.5248,223.43,105.0,8965.780793235137,18.906
1728722744.9999592,12/10/24,11:45:45 AM,37.935994453,23.6623832599,0.7253,226.5,100.0,8963.560176605004,19.115
1728722747.999957,12/10/24,11:45:48 AM,37.9359756054,23.662361565,0.8216,219.07,100.0,8960.729322834122,19.324
1728722749.9999561,12/10/24,11:45:50 AM,37.9359644884,23.6623417041,0.951,232.64,101.0,8958.591352869435,19.533
1728722751.9999557,12/10/24,11:45:52 AM,37.9359529513,23.6623238831,0.9277,226.12,101.0,8956.567954846741,19.742
1728722753.999953,12/10/24,11:45:54 AM,37.9359399355,23.662307498,0.9713,224.42,101.0,8954.52789031453,19.742
1728722755.9999523,12/10/24,11:45:56 AM,37.9359251964,23.66229359,0.9878,223.3,101.0,8952.485531229491,19.951
1728722758.9999504,12/10/24,11:45:59 AM,37.9359037097,23.6622708563,0.9718,217.83,101.0,8949.373970842775,20.16
1728722760.9999485,12/10/24,11:46:01 AM,37.9358889608,23.6622573197,1.0111,216.13,107.0,8947.350108021092,20.369
1728722762.999948,12/10/24,11:46:03 AM,37.935876032,23.6622386364,1.0033,219.72,107.0,8945.169080537455,20.578
1728722765.9999452,12/10/24,11:46:06 AM,37.9358562036,23.6622159121,1.0688,221.06,108.0,8942.196803421519,20.787
1728722767.9999447,12/10/24,11:46:08 AM,37.9358416017,23.6621948281,1.0477,221.4,108.0,8939.73466254241,20.996
1728722768.9999433,12/10/24,11:46:09 AM,37.9358347006,23.6621847352,1.0477,222.68,108.0,8938.562503192932,20.996
1728722770.999943,12/10/24,11:46:11 AM,37.9358195945,23.6621666442,1.0657,221.54,105.0,8936.251535818508,21.205
1728722772.9999413,12/10/24,11:46:13 AM,37.9358049478,23.6621530656,1.0409,220.08,105.0,8934.234654658361,21.414
1728722775.99994,12/10/24,11:46:16 AM,37.9357859975,23.662138647,0.9442,216.95,105.0,8931.778871748018,21.623
1728722776.9999394,12/10/24,11:46:17 AM,37.9357773501,23.6621334854,0.9418,214.38,105.0,8930.717201543144,21.623
1728722779.999937,12/10/24,11:46:20 AM,37.935753476,23.662120213,0.9635,211.92,102.0,8927.821798406916,22.041
1728722780.9999363,12/10/24,11:46:21 AM,37.9357452278,23.6621133243,0.971,214.52,102.0,8926.72412672617,22.041
1728722782.9999356,12/10/24,11:46:23 AM,37.93572958,23.6620992657,0.9819,217.32,102.0,8924.592469057561,22.25
1728722784.9999342,12/10/24,11:46:25 AM,37.9357140309,23.662086241,0.9983,219.72,99.0,8922.52132523658,22.459
1728722787.9999328,12/10/24,11:46:28 AM,37.9356979134,23.6620607085,0.9883,218.76,99.0,8919.651081201548,22.668
1728722788.9999323,12/10/24,11:46:29 AM,37.9356928347,23.6620519527,0.974,217.5,99.0,8918.697024195295,22.668
1728722791.9999306,12/10/24,11:46:32 AM,37.9356739673,23.6620328006,0.9434,219.59,99.0,8916.009968872084,22.877
1728722793.9999294,12/10/24,11:46:34 AM,37.9356556638,23.662019195,1.0106,225.3,99.0,8913.652440368405,23.086
1728722795.999929,12/10/24,11:46:36 AM,37.9356396141,23.6620038996,1.0617,226.28,98.0,8911.42051887151,23.295
1728722797.9999275,12/10/24,11:46:38 AM,37.9356235362,23.6619840718,1.0542,228.35,98.0,8908.925952308207,23.504
1728722799.999926,12/10/24,11:46:40 AM,37.9356141105,23.6619695082,0.9944,229.05,98.0,8907.272582317202,23.504
1728722801.9999247,12/10/24,11:46:42 AM,37.9356023278,23.6619507181,1.0254,228.63,98.0,8905.165716040272,23.713
1728722803.9999232,12/10/24,11:46:44 AM,37.9355905509,23.6619304628,1.0078,237.45,98.0,8902.956799700658,23.922
1728722805.999923,12/10/24,11:46:46 AM,37.9355830361,23.661909405,1.0485,237.67,95.0,8900.926396762523,24.131
1728722807.9999223,12/10/24,11:46:48 AM,37.9355729424,23.6618847557,1.09,235.13,95.0,8898.487014601867,24.34
1728722809.9999197,12/10/24,11:46:50 AM,37.9355584687,23.6618658313,1.0846,218.2,97.0,8896.174330899974,24.34
1728722810.9999194,12/10/24,11:46:51 AM,37.935549579,23.661857573,1.1009,218.42,97.0,8894.949322102044,24.549
1728722812.999919,12/10/24,11:46:53 AM,37.9355361445,23.661839969,1.0652,222.95,97.0,8892.8002604028,24.549
1728722814.9999182,12/10/24,11:46:55 AM,37.9355215542,23.6618199774,1.0868,229.08,99.0,8890.410447400976,24.758
1728722817.9999163,12/10/24,11:46:58 AM,37.9355122173,23.6617890936,1.0505,233.04,99.0,8887.504420833144,24.994
1728722819.9999151,12/10/24,11:47:00 AM,37.9354979011,23.6617671177,1.1466,230.99,98.0,8885.002992552685,25.203
1728722821.9999137,12/10/24,11:47:02 AM,37.935484758,23.6617456197,1.1466,231.61,98.0,8882.615581765784,25.412
1728722822.9999132,12/10/24,11:47:03 AM,37.9354789453,23.6617361128,1.1274,229.54,98.0,8881.559779310932,25.412
1728722825.9999425,12/10/24,11:47:06 AM,37.9354658691,23.661713225,0.9954,228.87,103.0,8879.078885177327,25.83
1728722828.9999428,12/10/24,11:47:09 AM,37.9354511247,23.6616914119,1.0391,232.41,99.0,8876.557901523362,26.039
1728722830.9999404,12/10/24,11:47:11 AM,37.9354388526,23.661679366,0.9994,229.8,99.0,8874.832563966598,26.039
1728722832.9999409,12/10/24,11:47:13 AM,37.9354263184,23.66166201,0.9624,230.41,99.0,8872.7677567816,26.248
1728722835.9999433,12/10/24,11:47:16 AM,37.9354090259,23.6616407372,0.9375,229.8,99.0,8870.087985334858,26.457
1728722838.9999433,12/10/24,11:47:19 AM,37.9353922195,23.6616233925,0.9414,230.49,98.0,8867.678692761407,26.902
1728722841.9999475,12/10/24,11:47:22 AM,37.9353794357,23.6616053298,0.8954,229.95,98.0,8865.549205477892,27.138
1728722844.99995,12/10/24,11:47:25 AM,37.9353626725,23.6615794196,0.8957,233.67,100.0,8862.608113948869,27.374
1728722847.9999528,12/10/24,11:47:28 AM,37.9353514538,23.6615581417,0.8885,237.93,100.0,8860.36102916205,27.61
1728722851.9999545,12/10/24,11:47:32 AM,37.9353402907,23.6615320723,0.7701,242.11,101.0,8857.75579378924,28.082
1728722854.9999554,12/10/24,11:47:35 AM,37.9353301568,23.6615092376,0.7751,235.82,102.0,8855.454765600753,28.318
1728722857.9999552,12/10/24,11:47:38 AM,37.9353210054,23.6614831036,0.7422,243.04,102.0,8852.942826686458,28.554
1728722860.9999557,12/10/24,11:47:41 AM,37.9353085482,23.6614569558,0.7824,242.27,102.0,8850.260388911523,28.79
1728722861.9999561,12/10/24,11:47:42 AM,37.935304015,23.6614495019,0.7824,241.77,102.0,8849.434227837486,29.026
1728722864.9999552,12/10/24,11:47:45 AM,37.935296726,23.6614229425,0.8106,246.55,98.0,8846.963227046723,29.262
1728722867.9999542,12/10/24,11:47:48 AM,37.9352864001,23.6614003933,0.7889,246.68,98.0,8844.673468232533,29.471
1728722871.9999537,12/10/24,11:47:52 AM,37.9352753076,23.6613747416,0.7268,247.06,97.0,8842.104238711894,29.707
1728722874.9999523,12/10/24,11:47:55 AM,37.9352700035,23.6613520917,0.7132,248.84,99.0,8840.02790357906,30.152
1728722878.9999504,12/10/24,11:47:59 AM,37.9352607518,23.6613293228,0.6567,245.35,99.0,8837.778271181578,30.388
1728722882.999949,12/10/24,11:48:03 AM,37.9352605695,23.6613037121,0.5981,247.14,103.0,8835.526778979603,30.86
1728722885.999949,12/10/24,11:48:06 AM,37.9352506525,23.6612836824,0.6513,248.47,104.0,8833.450246670263,31.096
1728722886.9999475,12/10/24,11:48:07 AM,37.9352474097,23.6612803722,0.6513,248.33,104.0,8832.987394980528,31.096
1728722890.9999464,12/10/24,11:48:11 AM,37.9352345229,23.6612581233,0.6574,245.06,104.0,8830.564298403273,31.514
1728722895.9999437,12/10/24,11:48:16 AM,37.935225882,23.6612304598,0.4027,243.06,104.0,8827.95014186553,31.932
1728722904.9999385,12/10/24,11:48:25 AM,37.9352070566,23.6612349695,0.7406,157.8,103.0,8825.823336092422,32.559
